category;shortname;fullname
16;AGAMA ISLAM ( X AKL 1 );AGAMA ISLAM ( X AKL 1 )
16;AGAMA KRISTEN ( X AKL 1 );AGAMA KRISTEN ( X AKL 1 )
16;PENDIDIKAN PANCASILA ( X AKL 1 );PENDIDIKAN PANCASILA ( X AKL 1 )
16;BAHASA INDONESIA ( X AKL 1 );BAHASA INDONESIA ( X AKL 1 )
16;BAHASA INGGRIS ( X AKL 1 );BAHASA INGGRIS ( X AKL 1 )
16;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X AKL 1 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X AKL 1 )
16;SEJARAH ( X AKL 1 );SEJARAH ( X AKL 1 )
16;SENI DAN BUDAYA ( X AKL 1 );SENI DAN BUDAYA ( X AKL 1 )
16;MUATAN LOKAL ( X AKL 1 );MUATAN LOKAL ( X AKL 1 )
16;KODING DAN KECERDASAN ARTIFISIAL ( X AKL 1 );KODING DAN KECERDASAN ARTIFISIAL ( X AKL 1 )
16;INFORMATIKA ( X AKL 1 );INFORMATIKA ( X AKL 1 )
16;MATEMATIKA ( X AKL 1 );MATEMATIKA ( X AKL 1 )
16;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X AKL 1 );PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X AKL 1 )
16;DASAR - DASAR PROGRAM KEAHLIAN ( X AKL 1 );DASAR - DASAR PROGRAM KEAHLIAN ( X AKL 1 )
17;AGAMA ISLAM ( X AKL 2 );AGAMA ISLAM ( X AKL 2 )
17;AGAMA KRISTEN ( X AKL 2 );AGAMA KRISTEN ( X AKL 2 )
17;PENDIDIKAN PANCASILA ( X AKL 2 );PENDIDIKAN PANCASILA ( X AKL 2 )
17;BAHASA INDONESIA ( X AKL 2 );BAHASA INDONESIA ( X AKL 2 )
17;BAHASA INGGRIS ( X AKL 2 );BAHASA INGGRIS ( X AKL 2 )
17;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X AKL 2 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X AKL 2 )
17;SEJARAH ( X AKL 2 );SEJARAH ( X AKL 2 )
17;SENI DAN BUDAYA ( X AKL 2 );SENI DAN BUDAYA ( X AKL 2 )
17;MUATAN LOKAL ( X AKL 2 );MUATAN LOKAL ( X AKL 2 )
17;KODING DAN KECERDASAN ARTIFISIAL ( X AKL 2 );KODING DAN KECERDASAN ARTIFISIAL ( X AKL 2 )
17;INFORMATIKA ( X AKL 2 );INFORMATIKA ( X AKL 2 )
17;MATEMATIKA ( X AKL 2 );MATEMATIKA ( X AKL 2 )
17;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X AKL 2 );PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X AKL 2 )
17;DASAR - DASAR PROGRAM KEAHLIAN ( X AKL 2 );DASAR - DASAR PROGRAM KEAHLIAN ( X AKL 2 )
18;AGAMA ISLAM ( XI AKL 1 );AGAMA ISLAM ( XI AKL 1 )
18;AGAMA KRISTEN ( XI AKL 1 );AGAMA KRISTEN ( XI AKL 1 )
18;PENDIDIKAN PANCASILA ( XI AKL 1 );PENDIDIKAN PANCASILA ( XI AKL 1 )
18;BAHASA INDONESIA ( XI AKL 1 );BAHASA INDONESIA ( XI AKL 1 )
18;BAHASA INGGRIS ( XI AKL 1 );BAHASA INGGRIS ( XI AKL 1 )
18;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI AKL 1 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI AKL 1 )
18;PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI AKL 1 );PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI AKL 1 )
18;KONSENTRASI KEAHLIAN ( XI AKL 1 );KONSENTRASI KEAHLIAN ( XI AKL 1 )
18;MUATAN LOKAL ( XI AKL 1 );MUATAN LOKAL ( XI AKL 1 )
18;MATA PELAJARAN PILIHAN ( XI AKL 1 );MATA PELAJARAN PILIHAN ( XI AKL 1 )
18;MATEMATIKA ( XI AKL 1 );MATEMATIKA ( XI AKL 1 )
18;SEJARAH ( XI AKL 1 );SEJARAH ( XI AKL 1 )
19;AGAMA ISLAM ( XI AKL 2 );AGAMA ISLAM ( XI AKL 2 )
19;AGAMA KRISTEN ( XI AKL 2 );AGAMA KRISTEN ( XI AKL 2 )
19;PENDIDIKAN PANCASILA ( XI AKL 2 );PENDIDIKAN PANCASILA ( XI AKL 2 )
19;BAHASA INDONESIA ( XI AKL 2 );BAHASA INDONESIA ( XI AKL 2 )
19;BAHASA INGGRIS ( XI AKL 2 );BAHASA INGGRIS ( XI AKL 2 )
19;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI AKL 2 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( XI AKL 2 )
19;PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI AKL 2 );PROJEK KREATIF DAN KEWIRAUSAHAAN ( XI AKL 2 )
19;KONSENTRASI KEAHLIAN ( XI AKL 2 );KONSENTRASI KEAHLIAN ( XI AKL 2 )
19;MUATAN LOKAL ( XI AKL 2 );MUATAN LOKAL ( XI AKL 2 )
19;MATA PELAJARAN PILIHAN ( XI AKL 2 );MATA PELAJARAN PILIHAN ( XI AKL 2 )
19;MATEMATIKA ( XI AKL 2 );MATEMATIKA ( XI AKL 2 )
19;SEJARAH ( XI AKL 2 );SEJARAH ( XI AKL 2 )
20;AGAMA ISLAM ( XII AKL 1 );AGAMA ISLAM ( XII AKL 1 )
20;AGAMA KRISTEN ( XII AKL 1 );AGAMA KRISTEN ( XII AKL 1 )
20;PENDIDIKAN PANCASILA ( XII AKL 1 );PENDIDIKAN PANCASILA ( XII AKL 1 )
20;BAHASA INDONESIA ( XII AKL 1 );BAHASA INDONESIA ( XII AKL 1 )
20;BAHASA INGGRIS ( XII AKL 1 );BAHASA INGGRIS ( XII AKL 1 )
20;PROJEK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 1 );PROJEK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 1 )
20;KONSENTRASI KEAHLIAN ( XII AKL 1 );KONSENTRASI KEAHLIAN ( XII AKL 1 )
20;MATA PELAJARAN PILIHAN ( XII AKL 1 );MATA PELAJARAN PILIHAN ( XII AKL 1 )
21;AGAMA ISLAM ( XII AKL 2 );AGAMA ISLAM ( XII AKL 2 )
21;AGAMA KRISTEN ( XII AKL 2 );AGAMA KRISTEN ( XII AKL 2 )
21;PENDIDIKAN PANCASILA ( XII AKL 2 );PENDIDIKAN PANCASILA ( XII AKL 2 )
21;BAHASA INDONESIA ( XII AKL 2 );BAHASA INDONESIA ( XII AKL 2 )
21;BAHASA INGGRIS ( XII AKL 2 );BAHASA INGGRIS ( XII AKL 2 )
21;PROJEK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 2 );PROJEK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 2 )
21;KONSENTRASI KEAHLIAN ( XII AKL 2 );KONSENTRASI KEAHLIAN ( XII AKL 2 )
21;MATA PELAJARAN PILIHAN ( XII AKL 2 );MATA PELAJARAN PILIHAN ( XII AKL 2 )
