category;shortname;fullname
20;BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 1 );BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 1 )
20;BAHASA JEPANG  - ESAI ( XII TJKT 1 );BAHASA JEPANG  - ESAI ( XII TJKT 1 )
20;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 1 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 1 )
20;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 1 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 1 )
21;BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 2 );BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 2 )
21;BAHASA JEPANG  - ESAI ( XII TJKT 2 );BAHASA JEPANG  - ESAI ( XII TJKT 2 )
21;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 2 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 2 )
21;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 2 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 2 )
22;BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 3 );BAHASA JEPANG  - PILIHAN GANDA ( XII TJKT 3 )
22;BAHASA JEPANG  - ESAI ( XII TJKT 3 );BAHASA JEPANG  - ESAI ( XII TJKT 3 )
22;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 3 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII TJKT 3 )
22;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 3 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII TJKT 3 )
23;BAHASA JEPANG  - PILIHAN GANDA ( XII AKL 1 );BAHASA JEPANG  - PILIHAN GANDA ( XII AKL 1 )
23;BAHASA JEPANG  - ESAI ( XII AKL 1 );BAHASA JEPANG  - ESAI ( XII AKL 1 )
23;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII AKL 1 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII AKL 1 )
23;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII AKL 1 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII AKL 1 )
24;BAHASA JEPANG  - PILIHAN GANDA ( XII AKL 2 );BAHASA JEPANG  - PILIHAN GANDA ( XII AKL 2 )
24;BAHASA JEPANG  - ESAI ( XII AKL 2 );BAHASA JEPANG  - ESAI ( XII AKL 2 )
24;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII AKL 2 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII AKL 2 )
24;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII AKL 2 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII AKL 2 )
25;BAHASA JEPANG  - PILIHAN GANDA ( XII MPLB 1 );BAHASA JEPANG  - PILIHAN GANDA ( XII MPLB 1 )
25;BAHASA JEPANG  - ESAI ( XII MPLB 1 );BAHASA JEPANG  - ESAI ( XII MPLB 1 )
25;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII MPLB 1 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII MPLB 1 )
25;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII MPLB 1 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII MPLB 1 )
26;BAHASA JEPANG  - PILIHAN GANDA ( XII MPLB 2 );BAHASA JEPANG  - PILIHAN GANDA ( XII MPLB 2 )
26;BAHASA JEPANG  - ESAI ( XII MPLB 2 );BAHASA JEPANG  - ESAI ( XII MPLB 2 )
26;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII MPLB 2 );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII MPLB 2 )
26;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII MPLB 2 );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII MPLB 2 )
27;BAHASA JEPANG  - PILIHAN GANDA ( XII DKV );BAHASA JEPANG  - PILIHAN GANDA ( XII DKV )
27;BAHASA JEPANG  - ESAI ( XII DKV );BAHASA JEPANG  - ESAI ( XII DKV )
27;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII DKV );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII DKV )
27;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII DKV );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII DKV )
28;BAHASA JEPANG  - PILIHAN GANDA ( XII PM );BAHASA JEPANG  - PILIHAN GANDA ( XII PM )
28;BAHASA JEPANG  - ESAI ( XII PM );BAHASA JEPANG  - ESAI ( XII PM )
28;KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII PM );KODING KECERDASAN ARTIFISIAL  - PILIHAN GANDA ( XII PM )
28;KODING KECERDASAN ARTIFISIAL  - ESAI ( XII PM );KODING KECERDASAN ARTIFISIAL  - ESAI ( XII PM )
