category;shortname;fullname
22;AGAMA ISLAM ( X MPLB 1 );AGAMA ISLAM ( X MPLB 1 )
22;AGAMA KRISTEN ( X MPLB 1 );AGAMA KRISTEN ( X MPLB 1 )
22;PENDIDIKAN PANCASILA ( X MPLB 1 );PENDIDIKAN PANCASILA ( X MPLB 1 )
22;BAHASA INDONESIA ( X MPLB 1 );BAHASA INDONESIA ( X MPLB 1 )
22;BAHASA INGGRIS ( X MPLB 1 );BAHASA INGGRIS ( X MPLB 1 )
22;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X MPLB 1 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X MPLB 1 )
22;SEJARAH ( X MPLB 1 );SEJARAH ( X MPLB 1 )
22;SENI DAN BUDAYA ( X MPLB 1 );SENI DAN BUDAYA ( X MPLB 1 )
22;MUATAN LOKAL ( X MPLB 1 );MUATAN LOKAL ( X MPLB 1 )
22;KODING DAN KECERDASAN ARTIFISIAL ( X MPLB 1 );KODING DAN KECERDASAN ARTIFISIAL ( X MPLB 1 )
22;INFORMATIKA ( X MPLB 1 );INFORMATIKA ( X MPLB 1 )
22;MATEMATIKA ( X MPLB 1 );MATEMATIKA ( X MPLB 1 )
22;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X MPLB 1 );PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL ( X MPLB 1 )
22;DASAR - DASAR PROGRAM KEAHLIAN ( X MPLB 1 );DASAR - DASAR PROGRAM KEAHLIAN ( X MPLB 1 )
23;AGAMA ISLAM ( X MPLB 2 );AGAMA ISLAM ( X MPLB 2 )
23;AGAMA KRISTEN ( X MPLB 2 );AGAMA KRISTEN ( X MPLB 2 )
23;PENDIDIKAN PANCASILA ( X MPLB 2 );PENDIDIKAN PANCASILA ( X MPLB 2 )
23;BAHASA INDONESIA ( X MPLB 2 );BAHASA INDONESIA ( X MPLB 2 )
23;BAHASA INGGRIS ( X MPLB 2 );BAHASA INGGRIS ( X MPLB 2 )
23;PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X MPLB 2 );PENDIDIKAN JASMANI, OLAHRAGA DAN KESEHATAN ( X MPLB 2 )
23;SEJARAH ( X MPLB 2 );SEJARAH ( X MPLB 2 )
23;SENI DAN BUDAYA ( X MPLB 2 );SENI DAN BUDAYA ( X MPLB 2 )
23;MUATAN LOKAL ( X MPLB 2 );MUATAN LOKAL ( X MPLB 2 )
23;KODING DAN KECERDASAN ARTIFISIAL ( X MPLB 2 );KODING DAN KECERDASAN ARTIFISIAL ( X MPLB 2 )
23;INFORMATIKA ( X MPLB 2 );INFORMATIKA ( X MPLB 2 )
23;MATEMATIKA ( X MPLB 2 );MATEMATIKA ( X MPLB 2 )
