category,shortname,fullname
6,AGAMA ISLAM ( XII TJKT 1 ),AGAMA ISLAM ( XII TJKT 1 )
6,AGAMAKRISTEN ( XII TJKT 1 ),AGAMAKRISTEN ( XII TJKT 1 )
6,BAHASA INDONESIA ( XII TJKT 1 ),BAHASA INDONESIA ( XII TJKT 1 )
6,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 1 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 1 )
6,BAHASA INGGRIS ( XII TJKT 1 ),BAHASA INGGRIS ( XII TJKT 1 )
6,MATEMATIKA ( XII TJKT 1 ),MATEMATIKA ( XII TJKT 1 )
6,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 1 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 1 )
7,AGAMA ISLAM ( XII TJKT 2 ),AGAMA ISLAM ( XII TJKT 2 )
7,AGAMAKRISTEN ( XII TJKT 2 ),AGAMAKRISTEN ( XII TJKT 2 )
7,BAHASA INDONESIA ( XII TJKT 2 ),BAHASA INDONESIA ( XII TJKT 2 )
7,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 2 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 2 )
7,BAHASA INGGRIS ( XII TJKT 2 ),BAHASA INGGRIS ( XII TJKT 2 )
7,MATEMATIKA ( XII TJKT 2 ),MATEMATIKA ( XII TJKT 2 )
7,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 2 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 2 )
8,AGAMA ISLAM ( XII TJKT 3 ),AGAMA ISLAM ( XII TJKT 3 )
8,AGAMAKRISTEN ( XII TJKT 3 ),AGAMAKRISTEN ( XII TJKT 3 )
8,BAHASA INDONESIA ( XII TJKT 3 ),BAHASA INDONESIA ( XII TJKT 3 )
8,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 3 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII TJKT 3 )
8,BAHASA INGGRIS ( XII TJKT 3 ),BAHASA INGGRIS ( XII TJKT 3 )
8,MATEMATIKA ( XII TJKT 3 ),MATEMATIKA ( XII TJKT 3 )
8,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 3 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII TJKT 3 )
9,AGAMA ISLAM ( XII AKL 1 ),AGAMA ISLAM ( XII AKL 1 )
9,AGAMAKRISTEN ( XII AKL 1 ),AGAMAKRISTEN ( XII AKL 1 )
9,BAHASA INDONESIA ( XII AKL 1 ),BAHASA INDONESIA ( XII AKL 1 )
9,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII AKL 1 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII AKL 1 )
9,BAHASA INGGRIS ( XII AKL 1 ),BAHASA INGGRIS ( XII AKL 1 )
9,MATEMATIKA ( XII AKL 1 ),MATEMATIKA ( XII AKL 1 )
9,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 1 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 1 )
10,AGAMA ISLAM ( XII AKL 2 ),AGAMA ISLAM ( XII AKL 2 )
10,AGAMAKRISTEN ( XII AKL 2 ),AGAMAKRISTEN ( XII AKL 2 )
10,BAHASA INDONESIA ( XII AKL 2 ),BAHASA INDONESIA ( XII AKL 2 )
10,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII AKL 2 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII AKL 2 )
10,BAHASA INGGRIS ( XII AKL 2 ),BAHASA INGGRIS ( XII AKL 2 )
10,MATEMATIKA ( XII AKL 2 ),MATEMATIKA ( XII AKL 2 )
10,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 2 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII AKL 2 )
11,AGAMA ISLAM ( XII MPLB 1 ),AGAMA ISLAM ( XII MPLB 1 )
11,AGAMAKRISTEN ( XII MPLB 1 ),AGAMAKRISTEN ( XII MPLB 1 )
11,BAHASA INDONESIA ( XII MPLB 1 ),BAHASA INDONESIA ( XII MPLB 1 )
11,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII MPLB 1 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII MPLB 1 )
11,BAHASA INGGRIS ( XII MPLB 1 ),BAHASA INGGRIS ( XII MPLB 1 )
11,MATEMATIKA ( XII MPLB 1 ),MATEMATIKA ( XII MPLB 1 )
11,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII MPLB 1 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII MPLB 1 )
12,AGAMA ISLAM ( XII MPLB 2 ),AGAMA ISLAM ( XII MPLB 2 )
12,AGAMAKRISTEN ( XII MPLB 2 ),AGAMAKRISTEN ( XII MPLB 2 )
12,BAHASA INDONESIA ( XII MPLB 2 ),BAHASA INDONESIA ( XII MPLB 2 )
12,PEND. PANCASILA DAN KEWARGANEGARAAN ( XII MPLB 2 ),PEND. PANCASILA DAN KEWARGANEGARAAN ( XII MPLB 2 )
12,BAHASA INGGRIS ( XII MPLB 2 ),BAHASA INGGRIS ( XII MPLB 2 )
12,MATEMATIKA ( XII MPLB 2 ),MATEMATIKA ( XII MPLB 2 )
12,PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII MPLB 2 ),PRODUK KREATIF DAN KEWIRAUSAHAAN ( XII MPLB 2 )
13,AGAMA ISLAM ( XII DKV ),AGAMA ISLAM ( XII DKV )
13,AGAMAKRISTEN ( XII DKV ),AGAMAKRISTEN ( XII DKV )
